time,ipv4,ipv6,torv2,torv3,i2p
2022-10-11,0.389,0.095,0.0,0.512,0.004
2022-10-12,0.374,0.091,0.0,0.531,0.004
2022-10-13,0.374,0.094,0.0,0.526,0.006
2022-10-14,0.388,0.098,0.0,0.512,0.003
2022-10-15,0.379,0.097,0.0,0.521,0.004
2022-10-16,0.378,0.095,0.0,0.524,0.003
2022-10-17,0.379,0.096,0.0,0.522,0.003
2022-10-18,0.38,0.097,0.0,0.52,0.003
2022-10-19,0.378,0.096,0.0,0.522,0.004
2022-10-20,0.379,0.096,0.0,0.522,0.004
2022-10-21,0.391,0.101,0.0,0.504,0.004
2022-10-22,0.374,0.096,0.0,0.525,0.005
2022-10-23,0.373,0.095,0.0,0.527,0.005
2022-10-24,0.375,0.095,0.0,0.526,0.004
2022-10-25,0.372,0.094,0.0,0.528,0.006
2022-10-26,0.373,0.096,0.0,0.524,0.007
2022-10-27,0.373,0.095,0.0,0.525,0.007
2022-10-28,0.378,0.097,0.0,0.517,0.008
2022-10-29,0.364,0.094,0.0,0.535,0.006
2022-10-30,0.364,0.094,0.0,0.535,0.008
2022-10-31,0.363,0.094,0.0,0.536,0.006
2022-11-01,0.364,0.094,0.0,0.535,0.007
2022-11-02,0.366,0.094,0.0,0.533,0.007
2022-11-03,0.366,0.094,0.0,0.532,0.008
2022-11-04,0.368,0.094,0.0,0.531,0.007
2022-11-05,0.364,0.095,0.0,0.533,0.008
2022-11-06,0.362,0.095,0.0,0.535,0.007
2022-11-07,0.364,0.096,0.0,0.533,0.008
2022-11-08,0.362,0.096,0.0,0.536,0.006
2022-11-09,0.365,0.094,0.0,0.535,0.007
2022-11-10,0.362,0.093,0.0,0.537,0.008
2022-11-11,0.367,0.092,0.0,0.533,0.008
2022-11-12,0.363,0.093,0.0,0.535,0.009
2022-11-13,0.371,0.094,0.0,0.525,0.009
2022-11-14,0.368,0.093,0.0,0.529,0.009
2022-11-15,0.365,0.094,0.0,0.531,0.01
2022-11-16,0.367,0.094,0.0,0.53,0.009
2022-11-17,0.369,0.094,0.0,0.528,0.009
2022-11-18,0.365,0.094,0.0,0.53,0.01
2022-11-19,0.365,0.094,0.0,0.532,0.009
2022-11-20,0.363,0.093,0.0,0.533,0.01
2022-11-21,0.363,0.094,0.0,0.534,0.009
2022-11-22,0.369,0.095,0.0,0.525,0.011
2022-11-23,0.36,0.093,0.0,0.536,0.01
2022-11-24,0.361,0.093,0.0,0.535,0.01
2022-11-25,0.362,0.092,0.0,0.535,0.011
2022-11-26,0.362,0.094,0.0,0.535,0.009
2022-11-27,0.362,0.095,0.0,0.531,0.012
2022-11-28,0.369,0.095,0.0,0.525,0.011
2022-11-29,0.366,0.093,0.0,0.529,0.012
2022-11-30,0.364,0.093,0.0,0.531,0.012
2022-12-01,0.362,0.092,0.0,0.533,0.013
2022-12-02,0.362,0.092,0.0,0.532,0.014
2022-12-03,0.362,0.093,0.0,0.533,0.012
2022-12-04,0.365,0.092,0.0,0.53,0.012
2022-12-05,0.363,0.091,0.0,0.532,0.013
2022-12-06,0.366,0.092,0.0,0.529,0.013
2022-12-07,0.366,0.091,0.0,0.53,0.012
2022-12-08,0.364,0.09,0.0,0.534,0.013
2022-12-09,0.362,0.09,0.0,0.535,0.014
2022-12-10,0.363,0.089,0.0,0.535,0.012
2022-12-11,0.364,0.092,0.0,0.534,0.011
2022-12-12,0.367,0.091,0.0,0.529,0.013
2022-12-13,0.362,0.089,0.0,0.535,0.014
2022-12-14,0.364,0.089,0.0,0.535,0.013
2022-12-15,0.361,0.089,0.0,0.535,0.015
2022-12-16,0.362,0.089,0.0,0.537,0.012
2022-12-17,0.361,0.089,0.0,0.537,0.013
2022-12-18,0.362,0.089,0.0,0.538,0.011
2022-12-19,0.364,0.086,0.0,0.538,0.012
2022-12-20,0.365,0.088,0.0,0.536,0.011
2022-12-21,0.366,0.088,0.0,0.537,0.009
2022-12-22,0.364,0.088,0.0,0.537,0.011
2022-12-23,0.364,0.087,0.0,0.535,0.014
2022-12-24,0.361,0.088,0.0,0.536,0.015
2022-12-25,0.36,0.089,0.0,0.541,0.01
2022-12-26,0.361,0.088,0.0,0.54,0.012
2022-12-27,0.361,0.088,0.0,0.538,0.012
2022-12-28,0.36,0.087,0.0,0.541,0.012
2022-12-29,0.361,0.087,0.0,0.54,0.012
2022-12-30,0.36,0.088,0.0,0.542,0.01
2022-12-31,0.359,0.088,0.0,0.539,0.014
2023-01-01,0.359,0.087,0.0,0.541,0.012
2023-01-02,0.361,0.086,0.0,0.542,0.011
2023-01-03,0.36,0.086,0.0,0.543,0.011
2023-01-04,0.362,0.086,0.0,0.541,0.011
2023-01-05,0.361,0.086,0.0,0.542,0.012
2023-01-06,0.357,0.085,0.0,0.543,0.015
2023-01-07,0.358,0.087,0.0,0.542,0.013
2023-01-08,0.353,0.086,0.0,0.546,0.015
2023-01-09,0.354,0.087,0.0,0.544,0.016
2023-01-10,0.352,0.086,0.0,0.543,0.019
2023-01-11,0.348,0.086,0.0,0.549,0.017
2023-01-12,0.345,0.086,0.0,0.549,0.019
2023-01-13,0.347,0.086,0.0,0.547,0.02
2023-01-14,0.349,0.085,0.0,0.548,0.018
2023-01-15,0.348,0.086,0.0,0.545,0.021
2023-01-16,0.35,0.085,0.0,0.545,0.02
2023-01-17,0.35,0.085,0.0,0.545,0.02
2023-01-18,0.347,0.085,0.0,0.547,0.021
2023-01-19,0.348,0.086,0.0,0.545,0.021
2023-01-20,0.347,0.085,0.0,0.547,0.021
2023-01-21,0.348,0.085,0.0,0.545,0.022
2023-01-22,0.348,0.085,0.0,0.547,0.021
2023-01-23,0.348,0.084,0.0,0.547,0.021
2023-01-24,0.347,0.084,0.0,0.545,0.023
2023-01-25,0.347,0.085,0.0,0.544,0.023
2023-01-26,0.349,0.085,0.0,0.546,0.021
2023-01-27,0.346,0.084,0.0,0.543,0.026
2023-01-28,0.336,0.085,0.0,0.551,0.028
2023-01-29,0.339,0.086,0.0,0.553,0.022
2023-01-30,0.337,0.084,0.0,0.555,0.023
2023-01-31,0.341,0.085,0.0,0.548,0.027
2023-02-01,0.348,0.085,0.0,0.542,0.025
2023-02-02,0.347,0.085,0.0,0.544,0.024
2023-02-03,0.347,0.084,0.0,0.541,0.028
2023-02-04,0.343,0.084,0.0,0.544,0.029
2023-02-05,0.346,0.084,0.0,0.548,0.022
2023-02-06,0.348,0.086,0.0,0.552,0.014
2023-02-07,0.345,0.087,0.0,0.551,0.017
2023-02-08,0.35,0.087,0.0,0.556,0.007
2023-02-09,0.347,0.086,0.0,0.547,0.02
2023-02-10,0.35,0.086,0.0,0.545,0.019
2023-02-11,0.348,0.086,0.0,0.543,0.023
2023-02-12,0.349,0.087,0.0,0.541,0.023
2023-02-13,0.35,0.087,0.0,0.541,0.022
2023-02-14,0.354,0.088,0.0,0.549,0.01
2023-02-15,0.354,0.086,0.0,0.551,0.009
2023-02-16,0.354,0.087,0.0,0.547,0.011
2023-02-17,0.355,0.086,0.0,0.547,0.013
2023-02-18,0.354,0.087,0.0,0.545,0.014
2023-02-19,0.355,0.086,0.0,0.543,0.015
2023-02-20,0.351,0.087,0.0,0.546,0.016
2023-02-21,0.355,0.087,0.0,0.544,0.015
2023-02-22,0.354,0.085,0.0,0.543,0.017
2023-02-23,0.351,0.086,0.0,0.544,0.019
2023-02-24,0.353,0.087,0.0,0.54,0.02
2023-02-25,0.352,0.085,0.0,0.542,0.02
2023-02-26,0.349,0.086,0.0,0.544,0.021
2023-02-27,0.348,0.084,0.0,0.549,0.02
2023-02-28,0.344,0.085,0.0,0.552,0.019
2023-03-01,0.345,0.084,0.0,0.55,0.021
2023-03-02,0.347,0.084,0.0,0.545,0.024
2023-03-03,0.345,0.084,0.0,0.545,0.027
2023-03-04,0.347,0.084,0.0,0.543,0.026
2023-03-05,0.345,0.084,0.0,0.545,0.026
2023-03-06,0.345,0.084,0.0,0.546,0.025
2023-03-07,0.348,0.085,0.0,0.539,0.028
2023-03-08,0.347,0.083,0.0,0.545,0.025
2023-03-09,0.342,0.084,0.0,0.547,0.026
2023-03-10,0.341,0.082,0.0,0.549,0.027
2023-03-11,0.341,0.083,0.0,0.552,0.024
2023-03-12,0.341,0.081,0.0,0.552,0.026
2023-03-13,0.342,0.082,0.0,0.551,0.025
2023-03-14,0.343,0.083,0.0,0.55,0.024
2023-03-15,0.34,0.081,0.0,0.55,0.029
2023-03-16,0.338,0.082,0.0,0.553,0.027
2023-03-17,0.337,0.082,0.0,0.552,0.029
2023-03-18,0.338,0.082,0.0,0.552,0.028
2023-03-19,0.337,0.083,0.0,0.551,0.029
2023-03-20,0.337,0.083,0.0,0.551,0.029
2023-03-21,0.352,0.092,0.0,0.53,0.026
2023-03-22,0.35,0.091,0.0,0.53,0.029
2023-03-23,0.355,0.091,0.0,0.528,0.027
2023-03-24,0.353,0.091,0.0,0.528,0.028
2023-03-25,0.351,0.092,0.0,0.528,0.03
2023-03-26,0.351,0.091,0.0,0.53,0.029
2023-03-27,0.349,0.09,0.0,0.53,0.031
2023-03-28,0.351,0.091,0.0,0.529,0.029
2023-03-29,0.35,0.09,0.0,0.528,0.032
2023-03-30,0.348,0.091,0.0,0.53,0.031
2023-03-31,0.349,0.091,0.0,0.527,0.034
2023-04-01,0.349,0.092,0.0,0.524,0.035
2023-04-02,0.349,0.09,0.0,0.529,0.032
2023-04-03,0.351,0.092,0.0,0.528,0.029
2023-04-04,0.347,0.091,0.0,0.527,0.035
2023-04-05,0.345,0.091,0.0,0.527,0.037
2023-04-06,0.348,0.091,0.0,0.526,0.035
2023-04-07,0.346,0.091,0.0,0.527,0.035
2023-04-08,0.348,0.09,0.0,0.529,0.033
2023-04-09,0.346,0.091,0.0,0.529,0.034
2023-04-10,0.347,0.091,0.0,0.528,0.034
2023-04-11,0.347,0.088,0.0,0.53,0.036
2023-04-12,0.347,0.089,0.0,0.528,0.036
2023-04-13,0.346,0.088,0.0,0.53,0.035
2023-04-14,0.346,0.089,0.0,0.529,0.035
2023-04-15,0.345,0.089,0.0,0.531,0.035
2023-04-16,0.345,0.088,0.0,0.529,0.038
2023-04-17,0.344,0.09,0.0,0.529,0.036
2023-04-18,0.343,0.09,0.0,0.529,0.038
2023-04-19,0.342,0.087,0.0,0.532,0.039
2023-04-20,0.341,0.089,0.0,0.533,0.037
2023-04-21,0.342,0.089,0.0,0.533,0.037
2023-04-22,0.341,0.089,0.0,0.535,0.035
2023-04-23,0.341,0.088,0.0,0.536,0.034
2023-04-24,0.341,0.089,0.0,0.532,0.038
2023-04-25,0.34,0.089,0.0,0.532,0.038
2023-04-26,0.341,0.089,0.0,0.529,0.041
2023-04-27,0.339,0.089,0.0,0.531,0.042
2023-04-28,0.339,0.088,0.0,0.531,0.042
2023-04-29,0.339,0.088,0.0,0.533,0.04
2023-04-30,0.353,0.09,0.0,0.551,0.007
2023-05-01,0.354,0.091,0.0,0.553,0.001
2023-05-02,0.354,0.09,0.0,0.553,0.003
2023-05-03,0.354,0.091,0.0,0.554,0.001
2023-05-04,0.352,0.091,0.0,0.554,0.002
2023-05-05,0.346,0.09,0.0,0.544,0.02
2023-05-06,0.348,0.09,0.0,0.546,0.016
